CopieBN;CopieCol;DataFine;DataInizio;DescrizioneProdotto;Durata;EccBN;EccCol;NOL_FIN;NOL_INT;NumeroContratto;Proprietario;RagioneSociale;Stato;TotRata;﻿ClienteID;RowID
;;01/07/2028;15/05/2025;PROBOOK 450 G10 + N.2 PROBOOK 445 G11 + WORKSTATION HP ZBOOK POWER 16 G11 + NAS SYNOLOGY DS 423+ CON 3 HD 4 TB + vecchio contratto: NAS + ARMADIO;36;;;BNP 225;;A1F96295;fabio;CHRYSALIS S.R.L COMUNICATION;aperto;225.00 €;63;113
;*;;;REALIZZAZIONE VPN (MERAKI MX - 64 + ASSISTENZA E AGGIORNAMENTI CANONE ANNUALE);;*;*;;;;fabio;CHRYSALIS S.R.L COMUNICATION;aperto;0.00 €;63;114
;;;01/03/2025;N.14 LICENZE MICROSOFT OFFICE 365 BUSINESS STANDARD;;;;;140.4;;fabio;CIP 4 SRL;aperto;0.00 €;65;115
;;;01/04/2025;N.30 LICENZE MICROSOFT OFFICE 365 BUSINESS BASIC;;;;;2016,00 ANNO;;fabio;CIP 4 SRL;aperto;0.00 €;65;116
;;01/01/2029;01/01/2024;N.2 HP NOTEBOOK 450 G10 + N.2 OFFICE H&B 2021 + N.2 PANDA ANTIVIRUS + ASSISTENZA;60;;;GRENKE 60;;12737594;fabio;CLASS SERVICE SRL;aperto;60.00 €;67;117
;;01/01/2029;01/01/2024;STAMPANTE BADGE + SOFTWARE DI GESTIONE + NASTRO COLORI 250 BADGE + N.2 CONFEZIONI 100 BADGE;60;;;GRENKE 30;;12737951;fabio;CLASS SERVICE SRL;aperto;30.00 €;67;118
;;01/04/2029;01/04/2024;N. HP NOTEBOOK 450 G10 + N.1 OFFICE H&B 2021 + N.1 PANDA ANTIVIRUS + ASSISTENZA;60;;;GRENKE 30;;12739140;fabio;CLASS SERVICE SRL;aperto;30.00 €;67;119
;;01/07/2029;01/07/2024;N. HP NOTEBOOK 450 G10 + N.1 OFFICE H&B 2021 + N.1 PANDA ANTIVIRUS + ASSISTENZA;60;;;GRENKE 30;;12740317;fabio;CLASS SERVICE SRL;aperto;30.00 €;67;120
;;;01/07/2024;SYNOLOGY NAS DS224 PLUS COMPLERTO N.2 HD 2 TB;VENDITA;;;;;;fabio;CLASS SERVICE SRL;aperto;0.00 €;67;121
;;01/01/2030;01/01/2025;HP ELITEBOOK 860 G11 + OFFICE + PANDA;60;;;GRENKE 40;;12742056;fabio;CLASS SERVICE SRL;aperto;40.00 €;67;122
;;;;INSTALLAZIONE PER CONTO DI EPSON;;;;;;;fabio;COMPUTER DESIGN SRL;aperto;0.00 €;70;123
;;01/10/2028;11/07/2023;N.7 HP PRO TOWER 400 G9 + HP PROBOOK 450 G9;60;;;BNP 125;;;fabio;CONSEA SRL;aperto;125.00 €;72;124
;;01/01/2029;18/12/2023;N.4 IPHONE 15 PRO MAX 256GB + REKSAFE ( 3 NERI 1 BLU);60;;;BNP 140;;;fabio;CONSEA SRL;aperto;140.00 €;72;125
;;01/11/2029;06/11/2024;"MAC BOOK PRO 14"" + RECSAFE";60;;;IFIS 45;;14197522;fabio;CONSEA SRL;aperto;45.00 €;72;126
;*;;;VENDITA COMPONENTE 2016;*;*;*;*;;;fabio;COSI COM ERA;aperto;0.00 €;74;127
;;30/04/2028;01/05/2023;"N.4 GOOGLE HOME MINI + MONITOR 27""";60;;;;100;;fabio;Calorservices Srl;aperto;100.00 €;76;128
;;01/03/2028;02/02/2023;HP PROBOOK 470 G9 + OFFICE;60;;;BNP 40;;;fabio;DOTTORESSA MARIA OLGIATI;aperto;40.00 €;82;129
;0.01478;01/02/2028;01/01/2023;EPSON C878;60;1000;500;IFIS 150;;;fabio;DOTTORESSA MARIA OLGIATI;aperto;150.00 €;82;130
;;;;CLIENTE ATTIVO;*;;;;;;fabio;DRYLOCK;aperto;0.00 €;83;131
;;01/07/2030;30/06/2025;ARMADIO RACK+NVR+SISTEMA ANTIFURTO + 11 TELECAMERE;;;;BNP 130;;A1G10029;fabio;DUEGI CAR SRL;aperto;130.00 €;84;132
;;01/07/2030;30/06/2025;centralino P520 + linkus x 5 anni ,2 telefoni fissi,1 cordless;60;;;BNP 40;;A1G05812;fabio;DUEGI CAR SRL;aperto;40.00 €;84;133
;;;;VIDEOPROIETTORE;;;;;*;;fabio;EFESTO SRL;aperto;0.00 €;87;134
;;;;VIDEOPROIETTORE;;;;;;;fabio;EFESTO SRL;aperto;0.00 €;87;135
500;100;31/10/2028;01/11/2023;XEROX 6605 (USATA) + HP PC AIO 800 G3 (USATO)+ ROUTER LTE + APPLE IPHONE 14 PRO 512 + REC SAFE + APPLE AIRPODS PRO + DYMO ETICHETTRATRICE + N.3 NASTRI;60;0.00816;0.0816;;132.6;;fabio;EFFEELLE SRLS (LUIGI SPATUZZI);aperto;1326.00 €;88;136
;0.009;01/04/2028;13/02/2023;(SERVER DL360G10 + RAM 32GB + 3HD 300GB + ULTRIUM + WINDOWS SERVER 2016 + 10 CAL + 10 LICENZE RDS +  4 PC ASUS  ALL IN ONE + ARMADIO REC) BENI DAL VECCHIO CONTRATTO STUDIO ELLECI  + EPSON ENTERPRICE AM-C6000 + N.4 PC AIO + N.1 NOTEBOOK;60;7000 in tandem su tutte le macchine;0;BNP 565;;;fabio;ELLECI SRL;aperto;565.00 €;89;137
;*;;01/07/2018;DOMINIO + MAIL;RINNOVO ANNUALE;*;*;;;;fabio;ELLECI SRL;aperto;100.00 €;89;138
;*;;07/07/2015;CONTRATTO DI ASSISTENZA;60 TACITO RINNOVO;*;*;;;;fabio;ELLECI SRL;aperto;85.00 €;89;139
;*;31/12/2029;01/01/2025;HP PC + MONITOR + OFFICE + PANDA ( MATERIALE USATO);60;*;*;;;;fabio;ELLECI SRL;aperto;20.00 €;89;140
500;100;01/04/2030;18/03/2025;C579  CASA TITOLARE VECCHIO CONTRATTO;60;0.007834;0.078333;TANDEM;*;;fabio;ERA HOLDING SRL (GLASFORD);aperto;0.00 €;91;141
;0.007834;01/10/2027;13/07/2022;EPSON C878 + C579;60;1500;300;BNP 189;;;fabio;ERA HOLDING SRL (GLASFORD);aperto;189.00 €;91;142
;0.007834;01/10/2027;13/07/2022;C579  CASA TITOLARE;60;500;100;TANDEM;;;fabio;ERA HOLDING SRL (GLASFORD);aperto;0.00 €;91;143
;;;;RISCATTO NOLEGGIO IPHONE 8;*;;;;*;;fabio;Elleci Studio di Corsi Emiliana;aperto;0.00 €;94;144
COPIE IN TANDEM su tutte le macchine;COPIE IN TANDEM;01/03/2027;01/03/2022;EPSON C579 + NAS + N.2 DISCHI  + (N.2 PC + MONITOR + OFFICE (RIGENERATI) + MERAKI Z3 + LICENZA ANNUALE INCLUSA SOLO IL PRIMO ANNO + DISTRUGGI DOCUMENTI;60;0.009;0.09;BNP 90;*;;fabio;Elleci Studio di Corsi Emiliana;aperto;90.00 €;94;145
;;01/11/2029;04/10/2024;APPLE IPHONE 16 PRO MAX 256GB TITANIO SABBIA;60;;;BNP 30;*;A1F50007;fabio;Elleci Studio di Corsi Emiliana;aperto;30.00 €;94;146
;;;;N.3 PANNELLI PLEXIGLAS;*;;;;;;fabio;Elleci Studio di Corsi Emiliana;aperto;0.00 €;94;147
;;;;RISCATTO NOLEGGIO IPHONE 8;*;;;;;;fabio;Elleci Studio di Corsi Emiliana;aperto;0.00 €;94;148
12000 IN TANDEM  CONTRATTO C7025;0;01/04/2026;25/01/2021;N.2 EPSON C579;60M;0.004751;0.067143;BNP 180;*;A1C53311;fabio;Etaplast SpA;aperto;180.00 €;96;149
;;01/01/2027;08/10/2021;CENTRALINO YEASTAR S50 + LICENZA LINKUSS 5 ANNI + 10 CUFFIE BLOOTHOOT + N.12 SMARTPHONE OPPO A15 + ROUTER 4G (FORNITO DA SMARTELL);60M;*;*;BNP 95;*;A1D10960;fabio;Etaplast SpA;aperto;95.00 €;96;150
12000 in tandem c878;0 in tandem c878;01/07/2030;20/05/2025;N.2 EPSON EM-C800 + CENTRALINO S50 YESTAR ( VECCHIO CONTRATTO) + N.5 DECT W80 + N.1 DECT MANAGER + (N.12 CORDLESS GIGASET S700H PRO IN DDT BNP) + N.12 YEALINK W73H;60M;0.007;0.07;BNP 255;*;A1F95307;fabio;Etaplast SpA;aperto;255.00 €;96;151
;*;;10/07/2019;N.9 OFFICE HOMEBUSINESS 2019;60;*;*;*;;;fabio;Eurocolor;aperto;45.00 €;97;152
;*;;17/09/2019;DOMINIO;12 RINNOVO AUTOMATICO;*;*;*;;;fabio;Eurocolor;aperto;100.00 €;97;153
;*;01/01/2026;27/10/2020;CENTRALINO YEASTARS 20 + N870 IPDECT + N.3 CORDLESS S650H + N.1 TELEFONO T465S + SWITCH WIFI POE (VIGEVANO) + CENTRALINO YEASTARS 20 + N. 2 N870 IPDECT + N.6 CORDLESS S650H + N.1 TELEFONO T465S + SWITCH WIFI POE (S.MARTINO);60;*;*;BNP 260;;A1C08586;fabio;Eurocolor;aperto;260.00 €;97;154
;*;;;N.6 PISTOLA TERMOSCANNER;;*;*;*;;;fabio;Eurocolor;aperto;0.00 €;97;155
;*;;01/12/2020;CREAZIONE N.6 CASELLE EMAIL;12ESI RINNOVO AUTOMATICO;*;*;*;;;fabio;Eurocolor;aperto;0.00 €;97;156
;*;01/07/2026;05/05/2021;N.2 PC HP 400 G3 USATI (SAN MARTINO SICCOMARIO) + N.2 LENOVO USATI (VIGEVANO);60;*;*;BNP 70;;;fabio;Eurocolor;aperto;70.00 €;97;157
;0.01449;01/07/2027;15/06/2022;EPSON C579 + IPHONE 13 PRO 128 GB(tutto in milano color);60;1000 TANDEM MILANOCOLOR;100 TANDEM MILANOCOLOR;BNP 65;;;fabio;Eurocolor;aperto;65.00 €;97;158
;;30/04/2028;01/05/2023;UANIA + LICENZA ANNUALE (INSTALLATA VIGEVANO);60;;;;;;fabio;Eurocolor;aperto;20.00 €;97;159
;0.01449;01/07/2028;26/05/2023;SEDE DI SAN MARTINO : XEROX C7125 + N.2 C579 (1 USATA IN MILANO COLOR) + N.5 PC + MONITOR + OFFICE + ANTIVIRUS + PROVENIENTE DAL VECCHIO CONTRATTO : SERVER + NAS + FIREWALL + WIFI;60;4500 COPIE IN TANDEM;300 COPIE IN TANDEM;BNP 580;;;fabio;Eurocolor;aperto;580.00 €;97;160
;*;01/07/2028;26/05/2023;SEDE DI VIGEVANO : XEROX C7125 + N.2 PC + OFFICE + MONITOR + ANTIVIRUS + 1 PC USATO VECCHIO CONTRATTO;60;*;*;;;;fabio;Eurocolor;aperto;0.00 €;97;161
;;01/07/2028;01/06/2023;IPHONE 14 PRO 256GB SILVER;60;;;BNP 30;;;fabio;Eurocolor;aperto;30.00 €;97;162
;;28/02/2029;01/03/2024;N. 1 PAPERTABLET REMARKABLE 2 + PENNINO + CUSTODIA;60;;;;;;fabio;Eurocolor;aperto;15.00 €;97;163
COPIE INCLUSE CONTRATTO ENTERPRICE;COPIE INCLUSE CONTRATTO ENTERPRICE;01/01/2027;01/01/2022;EPSON C878;60;0.007834;0.078333;BNP 100;*;;fabio;FANTE ADVISORY SRL (INVESTIS ADVISORY SRL ) cambiata ragione sociale dal 31/08/2023;aperto;100.00 €;98;164
;*;30/04/2026;01/05/2021;SYNOLOGY NAS 220 PLUS completo di 2 hd da 3 tb +  SERVIZIO BACK UP in cloud 2 TB;60;*;*;*;;;fabio;FANTE ADVISORY SRL (INVESTIS ADVISORY SRL ) cambiata ragione sociale dal 31/08/2023;aperto;130.00 €;98;165
;*;;;(VENDITA) REALIZZAZIONE SOFTWARE DEDICATO;*;*;*;*;;;fabio;FANTE ADVISORY SRL (INVESTIS ADVISORY SRL ) cambiata ragione sociale dal 31/08/2023;aperto;0.00 €;98;166
;;;01/12/2020;monte ore 100 ore( come da accordi Fabio 13/01/2022) ( 6000);*;;;;;;fabio;FANTE ADVISORY SRL (INVESTIS ADVISORY SRL ) cambiata ragione sociale dal 31/08/2023;aperto;0.00 €;98;167
;;01/10/2025;23/09/2020;CENTRALINO YEASTAR S50 + N.2 SCHEDE B2 + N.2 RAGNI PER SALA CONFERENZE + N.35 TELEFONI + N.2 SWITCH 24 P POE+microfono;60;;;BNP 415;;;fabio;FANTE ADVISORY SRL (INVESTIS ADVISORY SRL ) cambiata ragione sociale dal 31/08/2023;aperto;415.00 €;98;168
;;;;N.3 HP PROBOOK 450 G7 + OFFICE;*;;;;;;fabio;FANTE ADVISORY SRL (INVESTIS ADVISORY SRL ) cambiata ragione sociale dal 31/08/2023;aperto;0.00 €;98;169
;;01/10/2025;23/09/2020;CENTRALINO YEASTAR S50 + N.2 SCHEDE B2 + N.2 RAGNI PER SALA CONFERENZE + N.35 TELEFONI + N.2 SWITCH 24 P POE+microfono;60;;;BNP 415;;;fabio;FANTE ADVISORY SRL (INVESTIS ADVISORY SRL ) cambiata ragione sociale dal 31/08/2023;aperto;415.00 €;98;170
;;;;REALIZZAZIONE VPN TORINO (MERAKI + ASSISTENZA CANONE ANNUALE);VENDITA;;;;;;fabio;FANTE ADVISORY SRL (INVESTIS ADVISORY SRL ) cambiata ragione sociale dal 31/08/2023;aperto;0.00 €;98;171
*;*;01/04/2030;01/04/2025;DVR + N.16 TELECAMERE ANALOGICHE + N.5 TELECAMERE IP + HARD DISK 2TB + N.2 SWITCH 5 PORTE POE;60;*;*;GRENKE 65;;12742799;fabio;FARMACIA AMBRECK SRL;aperto;65.00 €;101;172
*;*;01/04/2028;13/01/2023;CENTRALINO YEASTAR P550 + MODULO + LICENZA ( 5 ANNI) + N.6 CELLE DECT + N.8 CORDLESS W59R + N.21 CORDLESS W78H + N.3 TELEFONI T46U + 1 SWITCH 24 PORTE + N.2 CUFFIE MONO BLUETOOTH;60;*;*;BNP 350;;A1E18970;fabio;FARMACIA AMBRECK SRL;aperto;350.00 €;101;173
*;*;01/04/2030;01/04/2025;CENTRALINO YESTAR P560 + N.5 CORDLESS W59R + SWITCH 16 PORTE POE;60;*;*;GRENKE 120;;12742951;fabio;FARMACIA AMBRECK SRL;aperto;120.00 €;101;174
2000;1000;01/01/2026;26/11/2020;N.1 EPSON C878 + N.2 C579;60;0.00742;0.0742;BNP 170;;;fabio;FARMACIA SAN GIUSEPPE;aperto;170.00 €;105;175
;;01/10/2027;29/07/2022;CENTRALINO S20 + TELEFONO;60;;;BNP 30;;;fabio;FARMACIA SAN GIUSEPPE;aperto;30.00 €;105;176
;;01/05/2030;01/05/2025;CENTRALINO YEASTAR P520 + ACC + N.1 DECT N510 + N.2 CORDLESS GIGASET + CONTRATTO ASSISTENZA;60;;;IFIS 70;;14224328;fabio;FARMACIA VENTURA;aperto;70.00 €;108;177
3000;;01/12/2027;01/10/2022;XEROX VERSALINK B600 + PHASER 4600 (USATA VECCHIO CONTRATTO);60;0.01;;TANDEM;;;fabio;FIXI SRL;aperto;400.00 €;113;178
;;;01/01/2021;CONTRATTO DI MANUTENZIONE TELEFONIA;12ESI RINNOVO AUTOMATICO;;;;350 ANNO;;fabio;FLEXO ITALIA SRL;aperto;0.00 €;114;179
;;;01/07/2022;LETTORE C2C PRO + N.10 BADGE;VENDITA;;;;;;fabio;FLEXO ITALIA SRL;aperto;0.00 €;114;180
;;;01/08/2022;SOFTWARE RILEVATORE PRESENZE;VENDITA;;;;;;fabio;FLEXO ITALIA SRL;aperto;0.00 €;114;181
;;30/11/2024;01/12/2023;CONTRATTO ASSISTENZA SOFTWARE RILEVATORE PRESENZE CANONE ANNUALE;VENDITA;;;;CANONE ANNUALE;;fabio;FLEXO ITALIA SRL;aperto;0.00 €;114;182
;;;;CENTRALINO + TELEFONI;;;;;;;fabio;FLEXO ITALIA SRL;aperto;0.00 €;114;183
TANDEM CONTRATTO PRECEDENTE;TANDEM CONTRATTO PRECEDENTE;01/01/2029;01/01/2024;EPSON ENTERPRISE AM-C5000;60;0.00636;0.0636;GRENKE 135;;;fabio;FORMONT s.c.a.r.l.;aperto;135.00 €;115;184
63000;5000;01/04/2030;01/04/2025;EPSON AM-C 6000 4 CASSETTI + N.7 EPSON C879 + N.6 EPSON EM-C800 + N.10 LETTORI BADGE;60;0.006;0.06;GRENKE 1200;450;127-43081;fabio;FORMONT s.c.a.r.l.;aperto;1650.00 €;115;185
;;;;bene in ctr filosofia - MACCHINA RITIRATA AGOSTO 2025 SU COMUNICAZIONE DEL CLIENTE;*;;;*;;;fabio;Filosofia Alimentare Srl(SOFIA);aperto;0.00 €;119;186
;;;01/07/2025;LINEA FIBERWIDE;;;;;;;fabio;G BOERO SRL;aperto;0.00 €;121;187
500;100;01/10/2027;13/07/2022;C579  CASA TITOLARE;60;0.007834;0.078333;TANDEM;*;;fabio;GLASFORD;aperto;0.00 €;123;188
*;*;01/04/2026;08/03/2023;APPLE MAC BOOK AIR + ADATTATORE RETE + APPLE CARE;36;*;*;BNP 57;;;fabio;GLI ESPERTI DELL'IMPRESA SRL;aperto;57.00 €;124;189
*;*;01/04/2026;17/03/2023;HP ELITEBOOK 650 G9 + OFFICE;36;*;*;BNP 45;;;fabio;GLI ESPERTI DELL'IMPRESA SRL;aperto;45.00 €;124;190
14000 COPIE IN TANDEM;0;01/07/2028;01/07/2023;EPSON ENTERPRICE AM-C6000 + DOPPIO CASSETTO;60;0.006334;0.063342;GRENKE 195;;;fabio;GLI ESPERTI DELL'IMPRESA SRL;aperto;195.00 €;124;191
;;01/12/2029;11/11/2024;N.12 HP PRO ONE 440 G9 AIO + N.12 OFFICE H&B 2024 + ESTENSIONE GARANZIA 36 MESI + N.3 UBIQUITY SWITCH 48P + N.2 UBIQUITY CAVI SFP 0,5M + N.3 UBIQUITY SWITCH 16P + N.3 UBIQUITY SWITCH 8P + N.10 UBIQUITY FIREWALL UNIFI + N.2 UBIQUITY FIREWALL PROFESSIONAL + N.2 UBIQUITY CEILING MOUNT WIFI 7 AP + N.2 UBIQUITY POE INJECTOR + N.2 UBIQUITY WALL MOUNT;60;;;IFIS 385;;14197344;fabio;GLI ESPERTI DELL'IMPRESA SRL;aperto;385.00 €;124;192
*;*;01/01/2027;04/10/2021;"HP PERSONAL COMPUTER 290 G3 SFF + OFFICE + MONITOR 24""";60;*;*;BNP 25;*;;fabio;GOMMAUTO;aperto;25.00 €;125;193
*;*;01/10/2029;27/08/2024;"PC DELL 3910 + MONITOR 21,5"" + SWITCH 8 PORTE + 1 SWITCH 4 PORTE + ARMADIO RACK + ACC + N.2 ACCESS POINT + SWITCH 16 PORTE + NAS QNAP + 2 DISCHI 1TB USATO";60;*;*;BNP 93;*;;fabio;GOMMAUTO;aperto;93.00 €;125;194
2000;20;01/10/2030;17/07/2025;EPSON WOKEFORCE EM - C 800 + 2 CASSETTI CARTA;60;0.007;0.07;BNP 80;*;A1G14196;fabio;GOMMAUTO;aperto;80.00 €;125;195
10000;2000;31/08/2026;01/09/2021;EPSON C 878;60ESI;0.00655;0.06551;*;243.8;;fabio;GRAND HOTEL SITEA  (seat);aperto;2438.00 €;126;196
11000;200;01/04/2030;28/01/2025;EPSON C878 + C800 DOPPIO CASSETTO;60;0.006;0.06;BNP 300;*;A1F75433;fabio;GRAND HOTEL SITEA  (seat);aperto;300.00 €;126;197
;;01/10/2029;23/09/2024;"IPHONE 14 PRO MAX 128GB (dal contratto di Guarracino) + N.2 NOTEBOOK DELL (I5 16 512) + N.2 ANTIVIRUS + IPAD 13"" WIFI + CELL 256GB + COVER + REKSAFE";60M;;;IFIS 119,44 + INTERNO 80;;14260338;fabio;GROSSO RAG.GIOVANNA;aperto;19944.00 €;128;198
;;01/07/2027;30/05/2022;"IMAC 24""";60;;;BNP 60;*;A1D74634;fabio;GUARRACINO RAG.EZIO;aperto;60.00 €;129;199
;;01/03/2028;23/02/2023;MAC BOOK PRO 16 (16GB + 512 MB) + IPHONE 14 PRO MAX 128GB;60;;;BNP 135;*;A1E28632;fabio;GUARRACINO RAG.EZIO;aperto;135.00 €;129;200
500;100;01/01/2029;23/11/2023;XEROX C415;60;0.0065;0.065;BNP 49;*;;fabio;Geo Pluriservice Srl;aperto;49.00 €;131;201
IN TANDEM CONTRATTI PRECEDENTI;IN TANDEM  CONTRATTO EPSON;01/06/2028;04/05/2023;EPSON C579;60;0.007;0.07;IFIS 59;*;;fabio;Gramsci Car Center Srl;aperto;59.00 €;132;202
5000;0;01/04/2029;27/02/2024;N.3 EPSON C579;60;0.007;0.07;BNP 200;*;;fabio;Gramsci Car Center Srl;aperto;200.00 €;132;203
13000;500;01/02/2030;31/12/2024;EPSON EM-C800 + EPSON WF-5899;60;0.007;0.07;IFIS 180;*;14209002;fabio;Gramsci Car Center Srl;aperto;180.00 €;132;204
2000;900;01/07/2027;01/07/2022;N.2 XEROX C405;60ESI;0.01272;0.1378;IFIS 300;*;;fabio;HUB09 SRL;aperto;300.00 €;134;205
1300;800;01/08/2025;01/08/2020;"XEROX 722X + HP ProDesk 400G6+Monitor 24""+Office+ Nas Synology DS218 con 2HD 1tera+ Cloud Backup 500GB";60;0.00601;0.04908;IFIS 178;;;fabio;I.T.E.L. IMPIANTI S.A.S. DI TALO' ANTONIO C. SAS;aperto;178.00 €;136;206
;;;;6 licenze panda;;;;*;240 ANNO;;fabio;I.T.E.L. IMPIANTI S.A.S. DI TALO' ANTONIO C. SAS;aperto;240.00 €;136;207
2300;800;25/06/2030;24/06/2025;"XEROX C8035 (USATA) + HP PC 290 G9 + HARD DISK 1TB + ESTENSIONE + OFFICE + MONITOR 24"" + NAS SYNOLOGY DS 218 (USATO VECCHIO CONTRATTO) + N.2 TELECAMERE + SWITCH POE 4 PORTE";60;0.0055;0.045;IFIS 180;;14229076;fabio;I.T.E.L. IMPIANTI S.A.S. DI TALO' ANTONIO C. SAS;aperto;180.00 €;136;208
;;;;6 licenze panda;;;;*;;;fabio;I.T.E.L. IMPIANTI S.A.S. DI TALO' ANTONIO C. SAS;aperto;240.00 €;136;209
;;;;e un nostro competitor che ci passa lavori su telefonia e cablaggio;*;;;;;;fabio;ICS Technical And Services SRL;aperto;0.00 €;138;210
;;;;CONTRATTO CENTRALINO;*;;;;;;fabio;IF3P;aperto;0.00 €;139;211
500;100;01/10/2029;02/07/2024;"EPSON C579 + HP PROTOWER 400 G9 + MONITOR 24"" + OFFICE + ANTIVIREUS VECCHI CONTRATTO";60;0.00954;0.0954;BNP 70;*;A1F35431;fabio;IMBALLAGGI CA.TI. SRL;aperto;70.00 €;140;212
;;01/04/2030;01/04/2025;HP NOTEBOOK 250 G10 + DOCKING + ANTIVIRUS + OFFICE (RECUPERATO) + ESTENSIONE;60;;;GRENKE 25;*;12742927;fabio;IMBALLAGGI CA.TI. SRL;aperto;25.00 €;140;213
*;*;31/08/2026;01/09/2021;CENTRALINO INCLOUD 50% CON RES + N.9 TELEFONI SCRIVANIA + N.2 TELEFONI POST OPERATORE + SWITCH POE;60;*;*;;185;;fabio;IMMOBILITALIANI DI LUIGI RAPETTI / BAVERA;aperto;185.00 €;143;214
*;*;30/09/2026;01/10/2021;"MAC BOOK PRO TBAR 16"" + MAC BOOK AIR 13"" + N.2 OFFICE";60;*;*;*;80;;fabio;IMMOBILITALIANI DI LUIGI RAPETTI / BAVERA;aperto;80.00 €;143;215
;0.00848;01/08/2026;01/08/2021;"N.2 IMAC 21,5"" + OFFICE + XEROX 7220 USATA (MATERIALE CONSEGNATO A MILANO) + N.2 IMAC 21,5"" + OFFICE + C7025 V_T + PS3 + 7225 USATA  + PS3 (MATERIALE CONSEGNATO A BUCCINASCO) - OTTOBRE 2021 ARRIVATA FATTURA COSTO RIACQUISTO BENI FINE NOLEGGIO";60;8000;1700;HP 240;;;fabio;IMMOBILITALIANI DI LUIGI RAPETTI / BAVERA;aperto;240.00 €;143;216
;;;;PROGETTO VOCI E DATI - FATTURA FIBERWIDE;*;;;;*;;fabio;IMMOBILITALIANI DI LUIGI RAPETTI / BAVERA;aperto;0.00 €;143;217
;;31/05/2028;31/05/2023;N.2 SAMSUNG GALAXY ZFOLD 4 256GB;60;;;BNP 60;;;fabio;IMOOD ITALIA SRL;aperto;60.00 €;144;218
4000;1000;01/11/2029;08/10/2024;EPSON C878;60;0.006;0.06;BNP 90;;A1F50035;fabio;IMOOD ITALIA SRL;aperto;90.00 €;144;219
*;*;01/04/2026;17/03/2021;HP SERVER PROLIANT ML350 G10 + RAM 32 GB + 3 HD DA 1TB+ 2 ALIMENTATORI +UPS + ESTENSIONE 60 M;60;*;*;BNP 95;*;;fabio;IMSER SPA;aperto;95.00 €;145;220
1000;100;01/01/2027;19/10/2021;EPSON C579;60;0.015666;0.123095;BNP 59;*;;fabio;IMSER SPA;aperto;59.00 €;145;221
*;*;01/04/2028;21/03/2023;SAMSUNG GALAXY ZFOLD 4 256GB (sostituito con Zfold 6 - non stornato ok fabio 17/01/2025)+ SAMSUNG GALAXY S23 256GB + NOTEBOOK ACER + OFFICE + ANTIVIRUS;60;*;*;BNP 120;*;A1E31673;fabio;INTERPROFGROUP SRL;aperto;120.00 €;146;222
*;*;01/02/2030;16/01/2025;"MSI CUBI PC NUC + TV LG 55"" + SOUNDBAR POLYCOM R30 + LG 27"" STAND BYME + GALAXY ZFLD 6 ROSA 512GB";60;*;*;BNP 185;*;A1F70836;fabio;INTERPROFGROUP SRL;aperto;185.00 €;146;223
10000;1000;01/08/2030;10/07/2025;N.2 ENTERPRISE AM-C4000 + 2 CASSETTI + STAND + EM-C800 ( CASA PANTE);60;0.008;0.08;BNP 370;*;A1G10285;fabio;INTERPROFGROUP SRL;aperto;370.00 €;146;224
;;;01/04/2024;PACCHETTO ASSISTENZA N.10 ORE ON SITE + REMOTO - COSTO ORE EXTRA  60,00;PACCHETTO ORE;;;;;;fabio;ISTITUTO SOLFERINO SRL;aperto;0.00 €;147;225
;;;01/05/2024;N.5 OFFICE 365 + N.1 CASELLA SOLA POSTA;;;;;845 ANNO;;fabio;ISTITUTO SOLFERINO SRL;aperto;0.00 €;147;226
;;;;ASSISTENZA SITO CIRENEAPARTMENTS.IT;*;;;;200 ANNO;;fabio;ISTITUTO SOLFERINO SRL;aperto;0.00 €;147;227
;;;;ASSISTENZA SITO SIGERIRESIDENCE.IT;*;;;;200 ANNO;;fabio;ISTITUTO SOLFERINO SRL;aperto;0.00 €;147;228
;;;;ASSISTENZA SITO CIRENEAPARTMENTS.IT;*;;;;;;fabio;ISTITUTO SOLFERINO SRL;aperto;0.00 €;147;229
;;;;ASSISTENZA SITO SIGERIRESIDENCE.IT;*;;;;;;fabio;ISTITUTO SOLFERINO SRL;aperto;0.00 €;147;230
*;*;31/10/2025;01/11/2020;APPLE IPAD PRO 11 lasciato al cliente;60;*;*;;20;;fabio;ITALFEM GROUP SRL;aperto;20.00 €;149;231
*;*;31/07/2026;01/08/2021;N.1 MAC BOOK AIR 13 + OFFICE + APPLE CARE ( da febbraio 2024 come da accordi con Luca riduciamo la rata);60;*;*;;27.5;;fabio;ITALFEM GROUP SRL;aperto;275.00 €;149;232
*;*;;01/12/2022;GOOGLE APPS MIGRAZIONE CASELLA MAIL l.tavano@italfemgroup.it;RINNOVO AUTOMATICO;*;*;;65 ANNO;;fabio;ITALFEM GROUP SRL;aperto;0.00 €;149;233
IN TANDEM CONTRATTO PRECEDENTE;IN TANDEM CONTRATTO PRECEDENTE;31/05/2029;01/06/2024;N2 EPSON C579 USATE + CENTRALINO S20 USATO +N.4 TELEFONI + 1 CORDLESS + RILEVATORE PRESENZE + N.10 BADGE - MODIFICATA RATA DA  138 AD  142  PER CONSEGNA 09/02/2024 N.1 TELEFONO AGGIUNTIVO;60;0.008446;0.084456;;142;;fabio;ITALFEM GROUP SRL;aperto;142.00 €;149;234
;;31/07/2029;01/08/2024;IPHONE 15 PRO 256 GB BLACK TITANIUM + REC SAFE;60;;;;30;;fabio;ITALFEM GROUP SRL;aperto;30.00 €;149;235
