CAP;Cell;Citta;Email;IBAN;Indirizzo;NoteCliente;PartitaIVA;PersonaRiferimento;Proprietario;ProssimaVisita;ProssimoRecall;RagioneSociale;SDI;TMK;Telefono;UltimaVisita;UltimoRecall;﻿ClienteID;RowID
27028;;San Martino Siccomario;eurocolor2.mc@gmail.com;;Via Brodolini 4;Scrivi qui le tue note...;;SIG.RA MIRELLA;fabio;;;Eurocolor;;;382559595;;;97;97
20121;;MILANO;"amministrazione@fantegroup.com;fante.logistica@fantegroup.com";;VIA BROLETTO 5;Dicembre 2019 nuovo cliente---23/12 auguri---28/1/20 il cliente chiama fabio---12/4/22 ravizzoni chiama fabio15/5/23 sentita in piu occasioni la cedrini---1/9/24 sentita in piu occasioni a fine anno cedrini---marzo 23 sentita per varie cedrini---17/12 in comuncazione con fabio per problemi tecnici;;andrea ravizzoni(02/72628040)/silvia rossi/dott. Fassio;fabio;;;FANTE ADVISORY SRL (INVESTIS ADVISORY SRL ) cambiata ragione sociale dal 31/08/2023;;;27262801;;;98;98
10132;;TORINO;"amministrazione@fantegroup.com;fante.logistica@fantegroup.com";;CORSO QUINTINO SELLA 102;*;;SIG.RA DRAGONE;fabio;;;FANTE TORINO SRL;;;114833375;;;99;99
20149;;MILANO;amministrazione@farmaciaalportello.com;;VIA GROSSOTTO 5;22/5/23 parlo con un'impiegata saluti marketing. Tutto ok--9/1/24 saluti tutto ok---29/7/24 b.v.17/12/24 b.n.--24/10/25 tmk;;DOTT.RODOLFI PAOLO;fabio;;;FARMACIA AL PORTELLO;;;233007274;;24/10/2025;100;100
20131;;MILANO;farmacia@ambreck.it;;VIA STRADIVARI 1;*;;DOTT.SSA RAFFELLA FERRARI titolare- SILVIA MARTA ELEONORA amministrazione;fabio;;;FARMACIA AMBRECK SRL;SUBM70N;;229526966;;;101;101
10086;;RIVAROLO CANAVESE;info@farmacentrale.com;;VIA IVREA 5;25/10/21 saluti tutto ok---15/4/22 SALUTI -- 23/5/23 chiamo x telemarketing mi dice che ha bisogno di toner e di un iphone... mando mail in attesa di dati15/1/24 SALUTI---29/7/24 n.r.---17/12/24 b.n.;9314820011;DOTT.ALDO SCHIFONE;fabio;;;FARMACIA CENTRALE;;;12429034;21/01/2021;17/12/2024;102;102
20047;;CUSAGO;farmaciadalmazio@gmail.com;;VIA IV NOVEMBRE 8;23/05/2023  mi riposnde una signora e mi dice che se ne occupa la sig.ra falsone---9/1/24 uguale---17/12 n.r.;12515120967;DOTT.SSA MARCELLA DALMAZIO(sig.ra falsone);fabio;;;FARMACIA DALMAZIO DEI DOTT.PAOLO AUGUSTO FRIGERIO E CESARE FANTONI GALBIATI & C SNC;KRRH6B9;;29019006;;17/12/2024;103;103
22060;;CABIATE;info@farmaciaalzani.it;;VIA VITTORIO VENETO 10;15/4/22 SALUTI AUGURI TUTTO OK --12/12/23 auguri - 23/5/23 parlo con collaboratrice tutto ok---1/9/24 saluti---29/7/24 b.v.---17/12/24 b.n.24/10/25 ok tmk;2091960134;DOTT.STEFANO ALZANI;fabio;;;FARMACIA DOTT.VITTORIO ALZANI;;;31766316;;24/10/2025;104;104
10043;;ORBASSANO;claudia.taschero@gmail.com;;PIAZZA UMBERTO 10;25/10/21 parlo con un collaboratore tutto ok15/4/22 TUTTO OK SALUTI---21/12/22 auguri---23/5 parlo con un collaboratore tutto ok---30/11/23 offerte--- 29/1/24 fabio mi avvisa che la gnavi ha venduto la farmacia. Telefono alla nuova gestione per capire cosa fanno con i nostri contratti parlo con la sig.ra chiara paschetta che e la direttrice e che mi comunica che le macchine sono li inutilizzate che loro hanno i loro fornitori e che invece pensa che il centralino in uso sia il nostro ma non lo sa con certezza.--;5129500012;DOTT.GNAVI 347/4195220;fabio;;;FARMACIA SAN GIUSEPPE;;;119002257;;;105;105
20019;;SETTIMO MILANESE;farm.seguro@tiscali.it;;VIA TOMMASO EDISON 5;23/5/23 parlo con lui . Tutto ok marketing---9/1/24 tutto ok---29/7 n.r.---17/12/24---24/10/25 n.r.;;DOTT.STEFANO GHISALE';fabio;;;FARMACIA SEGURO;;;23284898;;24/10/2025;106;106
20136;;MILANO;lionello.stock@gmail.com;;CORSO SAN GOTTARDO 1;4/11/21 se ne occupa oil dr. Stock figlio della curi---/1/6/23 il dottore non c'e---15/1/24 NON C'e24/10/25 n.r.;;dott. Stock-(DOTT.SSA GINETTA CURI);fabio;;;FARMACIA TICINESE DI DOTT.SSA CURI GINETTA;;;02 8940 3433;;24/10/2025;107;107
20823;;LENTATE SUL SEVESO;m.ventura@mianatura.it;;VIALE ITALIA 5;4/11/21 occ---15/4/22 LASCIO MESSAGGIO DI SALUTI IN SEGRETERIA---12/12/22 auguri ---23/5/23 segreteria---1/6/23 lascio messaggio in segreteria--9/1/23 n.r.---29/7/24 messaggio in segreteria b.v.---17/12/24 n.r.;11513700960;DOTT.VENTURA;fabio;;;FARMACIA VENTURA;;;362560253;;;108;108
21053;;CASTELLANZA;dario.favron@gmail.com;;VIALE BORRI 8;28/3/22 CI SENTIAMO PER TOPUP---15/4/22 SALUTI TUTTO OK---1/8/22 parlo con un collaboratore saluti.---21/12/22 AUGURI---23/5/23 -23/5/23 parlo con collaboratore .30/11/23 non puo--28/3/24 n c'e---24/5/24 preso app---29/7/24 b.v.---17/12/24 n.r..24/10/25 tmk;;SIG.DARIO FAVRON;fabio;;;FAVRON SRL;;;331338011;29/05/2024;24/10/2025;109;109
27047;;VOLPARA;fernando.mantovani@gmail.com;;VIA CASTELLO 20;e il consulenti di its -- chiama fabio direttamente;9441200962;SIG.MANTOVANI;fabio;;;FERNANDO MANTOVANI - ITS RIGHT;P62QHVQ;;3479051639;;;110;110
20125;;MILANO;m.ivo@jnius.it - e.giannini@ficaloraeassociati.it;;VIA MELCHIORRE GIOIA 168;Scrivi qui le tue note...;12043590152;SIG.MATTEO;fabio;;;FICALORA E ASSOCIATI ( ESPERTI);USAL8PV;;226168520;;;111;111
20073;;OPERA;fisiomedicalopera@gmail.com;;VIA FRATELLI BANDIERA 5;17/4/24 occ---23/4/24 chiamo per marketing mi mandera mail con richiesta intervento--24/10/25 tmk;;SIG.RA ELENA;fabio;;;FISIOMEDICAL OPERA SRL;;;243413935;;24/10/2025;112;112
10146;;TORINO;marketing@fixi.it;;VIA BELLARDI 40/A;21/12/2022 auguri---28/7/23 b.v.---3/10/23 app--28/3/24 saluti---29/7/24 b.v.30/7/25 N.R.;;SIG.RA SOFIA CASTOLDI 345 0714160;fabio;;;FIXI SRL;;;011/7072398;10/10/2023;30/07/2025;113;113
20094;;CORSICO;"mina@flexoitalia.com;paola@flexoitalia.com";;VIA PRIVATA TACITO 1;2/8/22 mando offerta--23/5/23 faccio telemarketing. E in contatto con claudia x offerte toner---29/7/24 b.v.30/7/25 B.V.;;paola savoia;fabio;;;FLEXO ITALIA SRL;;;248842388;;30/07/2025;114;114
10078;;VENARIA REALE;"stefano.maggi@arubapec.it;luca.basso@formont.it";;CORSO LOMBARDIA. 48(Viale Carlo Emanuele II 256Venaria Reale, Torino, Italia);0114598046 - 15/05: chiamare a luglio. Sono in fase di trasloco e per quel periodo potra ricevere il nuovo commerciale. N.b. i recapiti telefonici rimarranno gli stessi - variera ovviamente la sede. Nessun problema sui macchinari! 30/01: PRENDERE APPUNTAMENTO CON IL DIRETTORE COMMERCIALE E REPERIRE TUTTE LE INFO: SEDE (DOPO TRASFERIMENTO). MANDARE MAIL CON I MIEI RIFERIMENTI. VERIFICARE MATRICOLE. 31/01: fuori sede!---5/7 devono cambiare il parco... stiamo aspettando abbasso top up ... ---6/11/20 non chiamare il loockdown  --22/1/21 saluti -29/7/21 non rispondono---4/11/21 impiegata saluti---13/4/22 preso app---21/12/22 ---28/7/23 b.v.---9/1/24 saluti---29/7/24 n.r.24/10/25 n.r.;;SIG.  BASSO // sig. stefano maggi;fabio;;;FORMONT s.c.a.r.l.;;;0114598046  int. 228 - 3386359835 // 328 1045677 MAGGI STEFANO-;10/12/2024;24/10/2025;115;115
20139;;MILANO;m.foti@fotistudiolegale.it;;VIALE MARTINI 9;1/8/22 n.r.---7/9/22 tento app. dice che mi fa sapere domani mattina...--21/12/22 AUGURI---1/6/23 preso app---9/1/24 saluti---29/7/24 chiamo x b.v. chiede intervento tecnico avvisata claudia---19/12/24 b.n.---28/2/25 cerco app non puo---2/7/25 TENTO APP;6572050968;SIG.FOTI - SG.RA BUCCINO;fabio;;;FOTI MIRKO MARIO;;;249719247;08/06/2023;02/07/2025;116;116
20081;;Abbiategrasso;info@ferrianisicurezza.it;;Via Ada Negri 2;11/2018 tutto ok---10/5/19 visita di cortesia---21/10 chiamo tra una decina di gg fabio vule passare---17/12/19 auguri --- 28/7/20 tutto ok--- saluti estivi---20/10/20 tutto ok tutti bene---5/11/20 non ricevono per covid---17/12/20 auguri--- 19/2/21 chaimo per app il sig. ferriani ha problemi personali... la sig. simona e sempre disponibile --25/6/21- parlo con il padre che mi deice di prendere app con il figlio(davide)perche se ne occupa lui---29/7/21 saluti--4/11/21 saluti--10/3/22 cerco app per rinnovo contratti ma dice che sono presi ed e troppo presto---24/6/22 simona mi dice che fino al 5 luglio non e possibile fissare app con ferriani---28/7/22 firma ctr---21/12/22 AUGURI---21/11/23 chiamo per tentare app. simona dice che non ci sara pert un po che deve subire intervento --28/3/24 saluti ---29/7/24 b.v.--17/12 b.n.24/10/25 tmk;;SIG.RA SIMONA;fabio;;;Ferriani Srl;;;294966573;28/07/2022;24/10/2025;117;117
20033;;Desio;dr.lemme@filosofialimentare.it;;Via Garibaldi 11 ( VIA DUE PALME);visita 13/11/2018---4/6/19 preso app.---21/11 chaimo tra una decina di gg fabio vuole passare - 15/12/2019 FABIO LA CHIAMA X VERIFICARE INVIO MAIL CHIUSURA VECCHIO CONTRATTO NO RISPONDE---14/2/20 preso app dr. Lemme per saluti--5/6/20 tutto ok---31/7/20 saluti estivi ---19/10/20 sofia ha ricevuto una mail da xerox per con estatto conto e richiesta pagamento... lha mandata a manu il 15/10 manu gira a claudia...siamo in attesa di capire con fabio --4/11/21 saluti a marina --- 15/4/22 SALUTI TUTTO OK ---1/8/22 saluti---1/9/22 app---21/12/22 AUGURI---28/7/23 b.v.----18/12/23 in visita---29/7/24 slauti;;DOTT.LEMME(marina);fabio;;;Filosofia Alimentare Srl;;;362304161;07/05/2025;05/05/2025;118;118
24069;;TRESCORE BALNEARIO;sofia.tengattini@icloud.com';;VIA GRAMSCI 131;*;;SOFIA;fabio;;;Filosofia Alimentare Srl(SOFIA);;;3498851739;;;119;119
22070;;Vertemate con Minoprio;amministrazione@bingofiore.it;;1 Via Provinciale per Bulgorello;11/2018 tutto ok - passare x caffe 17/5 fabio app---3/12/19 APP---5/6/20 chiamo per saluti post covid e mi risponde la sig. ra roberta dicendo che alessandro non lavora piu li. Avvisato fabio. Vuole andare a presentarsi quando possibile dato che non hanno ancora riaperto. riprovo a fine mese---6/11/20 non chiamre in lock down---26/3/21 li cerco per app. non rispondono.---27/5/21 non rispondono--14/10/21---13/4/22 saluti piu intervento tecnico--2/8/22 saluti --- 21/12/22 AUGURI---24/5/23 app.--13/12/23 visita---29/7/24 b.v.19/12/24 n.r.5/2/25 app;;sig.ra roberta(TITOLARE:trezzi);fabio;;;Fiore Srl;;;31901580;11/02/2025;05/02/2025;120;120
20090;;BUCCINASCO;info@gboero.it;;VIA FORLANINI 3;Scrivi qui le tue note...;12427380964;SIG.RA CARLA MORLACCHI;fabio;;;G BOERO SRL;SUBM70N;;0245708478 - 3487806225;;;121;121
26013;;CREMA;geosido@gmail.com;;PIAZZALE RIMEMBRANZE 19;luglio 2022 cliente portato da Bettinelli, anche lui work station - 20/12/2022 tramite bettinelli faccio auguri di natale - 20/04/2023 visita di cortesia a Bettinelli - novembre 2023 contatti per offerta plotter - 25/07/2024 visita di cortesia, forse cambia il pc a settembre - 19/12/2024 auguri di natale;;GEOM.SIMONETTA;fabio;;;GEOM.SIMONETTA DOMENICO (BETTINELLI);;;037385525 cell. 3357216469;02/10/2024;20/04/2023;122;122
20123;;MILANO;g.pellegrino@glasford.it;;VIA AMEDEI 8 - PALAZZO RECALCATI;"10/12 l'ho contattata per sapere se voleva valutare pc e centralini. Dice centralino non interessa pc con il nuovo anno.(g)---8/7/19 ci chiama per avere offerta pc... mandata ... oggi richiamo e dice che c'rano dei pc da riscattare... fabio non sa nulla. Dice che qualsiasi cosa va bene.---18/7/19 CERACATA UN PAIO DI VOLTE... OGGI RISPONDE DICENDO CHE L'AMMINISTRATORE NON HA LE IDEE CHIARE CHE CI CHIAMONO LORO.---16/9/19 telefonata di saluti. chiede mail riepilogativa su come gestire i consumabili e gli interventi tecnici... fabio dice di non mandarla---17/12 auguri29/7/20 saluti--20/10/20 tutto bene.--- 9/12/20 non riceve fabio perche sono in smart gia fatti auguri--18/2/21 APP---29/7/21 saluti---28/10/21 saluti---21/4/22 saluti tutto ok---1/7/22 contratto nuovo---21/12/22 AUGURI, mi comunica che  ci sara un nuovo referente: givanna pellegrino 26/5/23 parlo con la pellegrino che mi comunica che cambieranno indirizzo dopo il 10 giugno...manu dice che era arrivata mail---21/9/23 app---9/1/24 n.r.---15/1/24 PROVO CELL PELLEGRINO. N.R.---28/3/24 provo cell colombo n.r.---29/7/24 b.v. silvia---19/12/24 b.n.---6/2/25 app--- ORA SI CHIAMA ""ERA HOLDING""";;SIG.RA SILVIA COLOMBO, giovanna pellegrino 375 6164345;fabio;;;GLASFORD;;;348/7097268--375/6164345;17/02/2025;06/02/2025;123;123
20125;;MILANO;s.betta@acaiservices.it;;VIA MELCHIORRE GIOIA 168;inizio maggio 2023 Fabio dice che Franzini non c'e piu, aspettiamo nuovo nominativo SIG.RA STEFANIA BETTA (conosciuta telefonicamente per invio contratti) - 07/03/2024 visitata a genaio 2024 - 26/07/2024 parlo con la Betta saluto e buone vacanze apprezza;;SIG.ANDREA cell. 3497745703 - SIG.MATTEO - ORA SIG.RA STEFANIA BETTA;fabio;;;GLI ESPERTI DELL'IMPRESA SRL;USAL8PV;;226168520;29/01/2024;07/03/2024;124;124
20016;;PERO;info@gommautosempione.it;;VIA BONARROTI 2/C;*;;SIG.RA SARA;fabio;;;GOMMAUTO;;;02/38103025;;;125;125
;;TORINO;info@grandhotelsitea.it;;VIA CARLO ALBERTO 35;DA CHIAMARE. RICHIAMATO MI HANNO DETTO DI SCRIVERE UNA MAIL AL SIG. FABRIZIO CHE E IL TITOLARE. SCRITTA MAIL. MI HA RISPOSTO DI RICHIAMARLO TRA 2 SETTIMANE PERCHE AL MOMENTO E OCCUPATO CON IL LAVORO. 04/06: richiamare. Via per convegni. 13/06: impegnato. richiamare dopo le ore 16. 22/06: non c'e. 26/06: non c'e. 02/07: chiamare domattina. 04/07: inviata mail per richiesta app. 10/07: problema con ricezione mail finita nella spam. avrebbe dato app. per il 9/06. richiesta nuova disponibilita. in attesa di risposta. 13/07: app. tranquillo. non necessitano di nulla. richiamare ad ottobre per visita di cortesia,10/10: Gradiscono essere ricontattati piu avanti perche non ha bisogno di altro.. 17/05 app. 24/05 ore 16 x estiz. ant.stampa e sost. 18/05/21 il sig. Musso mi ha detto che in questo momento hanno da poco riaperto e lui sta facendo reception se era possibile risentirci a giugno che aveva bisogno 25/06/21 Musso non ce rich. piu tardi - ore 15,32  08/07/21 richiamare l'ultima di luglio 03/09/21 chiamato diverse volte ma era sempre occupato e mi hanno consigliato di mandare email per chiedere un appuntamento x contratto in scadenza 06/09/21 appuntemento 08/09/21 ore 16 sc.contratto 01,10,21 02/12/21 poiche non e passat con la finanziaria fatto noleggio interno---11/5/22 note giulia : sono moltro presi per eventi a torino dice di sentirci a giugno21/6/22 il direttore non puo1/7/22 non c'e---24/11/22 tento app non puo'---5/5/23 tento app. non puo. molto gentile dice a giugno---5/6/23 NON C'E  ---3/4/24 saluti tutto bene molto gentile---29/7/24 b.v.---19/12/24 b.n.;;SIG.FABRIZIO MUSSO;fabio;;;GRAND HOTEL SITEA  (seat);;;115170171;;;126;126
20121;;MILANO;federica.foiadelli@gremove.com;;VIA BORGOSPESSO 8;22/04/2022 tutto ok molto soddisfatta---19/7/22 ritirata  7/9/22 tento app conoscenza... non puo dice di tentare quando fabio  e in zona---21/12/22 AUGURI 22/5/23 N.R.---28/7/23 app---28/3/24 n.r.---29/7/24 n.r.---19/12 n.r.24/10/25 chiamo per saluti... e di corsa dice che richiama;;SIG.RA FEDERICA FOIADELLI;fabio;;;GREMOVE SRL;;;3355650067;08/09/2023;24/10/2025;127;127
27036;;Mortara;"elenastguarracino@gmail.com ; giovannagros@gmail.com";;Via De Amicis 7;15/11/19 la chiamo perche fabio mi dice che interessavano iphone ipad .dice che al momento non fanno nulla---17/12/19 aauguri---27/10/20 ci sentiamo per questioni contabili.---31/8/20 LA STO CERACANDO PER SAPERE SE HA ASSICURAZIONE FURTO E INCENDIO---5/11/20 chiamo guarracino che mi dice che va tutto bene ma non ricevono per covid---18/12/20 auguri 19/1/21 li sto cercando x app--3/4/21 saluti---28/10/21 in studio non rispondono. lo chiamo sul cell. mi dice che ha subito un'operazione e che e bloccato-22/4/22 n.r.2/8/22 n.r.---21/12/22 auguri---28/7/23 n.r---9/1/24 saluti - impiegata-.---20/6/24 cerco app---2025 IL SIG. GUARRACINO e MORTO---5/9/25 in visita;1429820184;SIG.RA GROSSO GIOVANNA 339 2325419;fabio;;;GROSSO RAG.GIOVANNA;;;38499877;05/09/2025;05/09/2025;128;128
27036;;Mortara;elenastguarracino@gmail.com;;Via De Amicis 7;04/06/2025 chiesta estinzione totale contratto  I pad n.A1C63936 + estinzione parziale contratto Mac n.A1E28632(tiene moglie tel e pensa lei alla voltura) chiede voltura anche contratto IMac;882120181;SIG.EZIO GUARRACINO 333 5048245;fabio;;;GUARRACINO RAG.EZIO;;;38499877;;;129;129
20017;;rho;fabio.tundo1969@gmail.com;;galleria ghandi 14;cliente passato da Faioni---30/7/25 B.V.;12707030966;sig.fabio tundo;fabio;;;GUSTO BARF di Fabio Tundo;tundofabio@legalmail.it;;351 9972908;;30/07/2025;130;130
20019;;Settimo Milanese;a.bordino@geopluriservice.it;;Via Charles Darwin 19;30/5/19 ha un problema con il collegamento stampa /computer 18/7/19 PARLO CON lei per prendere app. non le si apre l'agenda dice che mi tichaima lei ---22/7 fissato incontro---17/12/19 auguri---31/7/20 saluti--20/10/20 tutto ok ---5/11/20 mi risponde una che non sa chi siamo... ---6/11/20 parlo con un'altra collega che mi dice che sono arrivati tutti i pezzi per sistemare la macchina, non ne sapevo nulla. mi fa richiamre comunque lunedi da anna---18/12/20 auguri---18/2/21LA CERCO PER APP---29/7/21 saluti---28/10/21 saluti---21/4/22 n.r.---2/8/22 n.r.---14/11/22 n.r.---21/12 AUGURI(SONO SCORTESI)---23/6/23 n.r.---novembre 23 sentita anna x varie---28/3/24 n.r.---17/7/24 chiamo per app. avviso claudia che hanno dei toner della vecchia stampante da ritirare... mi richiama lei per darmi disponibilita---23/7/24 preso app---1/8/24 contatto + b.v.---19/12/24 b.n.---2/7/25 CERCO APP . NON PUo... DICE CHE MI CHIAMA LEI;;ing. Zagoridis(titolare) -ANNA;fabio;;;Geo Pluriservice Srl;;;287196770;23/09/2024;02/07/2025;131;131
20016;;Pero;mlione@gramscisrl.com;;Via Piave 33;20 dicembre 2018 intervento aperto su phaser 4600 ufficio -in attesa di parti di ricambio - intervento previsto per 15/01/2019 - phaser 4600 ok--CHIAMARE PER SCADENZA CONTRATTO a maggio !!!(g) --- 13/5/ non la trovo.30/5 non me la passano mando mail 3/6/19 non c'e---11/7/19 la sto cercando per sapere se la mcchina che gli e stata data in demo x visione va bene--17/12/19 auguri--15/7/20 tutto ok---3/9/20 non c'e 16/9/20 non c'e---21/9/20 la cercavo perche fabio le aveva preparato offerta centralino piu linee... dice che per il momento lascia cosi.6/11/20 parlo con impiegata dice che sono presi con cambio gomme . avvisa la sig.ra pastore della nostra chiamata di saluto---18/12/20 auguri+ biglietto7/4/21 saluti tutto ok---9/6/21 cerco app. ma chi mi risponde dice addirittura dopo l'estae...--25/10/21 n.r.--28/10/21 saluti--24/11/21 scrive mail per problemi stampante---22/4/22 saluti tutto ok --- 2/8/22 saluti. si la menta di una macchina che non funziona e del fatto che vuole almeno un toner di scorta.1/9/22 tento app ma lei torna a meta---  settembre---22/9/22 non prendono app fino a meta ottobre---21/12 CONSEGNA MACCHINE E AUGURI---1/2/23 chiedono macchina in sostituzione . fabio fa offerta ,non gli piace. chiedono situazione ctr. copia situazione inviata(sitemata per l'occasione) dentro cartella documenti/contratti--- FEBBRAIO 23 TENTO PIu VOLTE APP. 6/3/23 TENTO APP.--15/6/23 tento app---inizio sett. cerco app. + mail--- 18/9 chimo x sig marco non puo. ---19/9 non puo--- 7/11/23 chiamati piu volte . mandato mail. oggi michela mi dice che riferisce e mi richiameranno. fabio mi dice di non chiamare fino a meta dicembre--- 17/11/23 fabio mi dice di provare ... e da giorni che provo. solo segreteria---20/12 n.r. ... provato piu volte ma non rispondono---20/2/24 app--29/7/24 b.v.---30/7/25 N.R.;;SIG.RA DOLORES SIG.RA PASTORE (DA NUBILE DUELLO);fabio;;;Gramsci Car Center Srl;;;238100398;03/12/2024;30/07/2025;132;132
20044;;ARESE;ionut.pop@hamamatsu.eu;;STRADA DELLA MOIA 1 INT.6;18/10/24 nota fabio:parlato con Pop , ci riaggiorniamo nellanno nuovo verso Marzo, il contratto in essere scade a Gennaio 26 , stanno valutando il marchio Epson direttamente in casa madre , gli ho proposto una macchina in demo A4 da provare , ma sempre lanno prossimo.19/12/24 n.r.12/3/25 chiamata di cortesia dice che deve prendere in mano la cosa con i suoi colleghi.--2/5/25...---11/7/25 chiamo . tento app. non puo. gentile. non ha ancora deciso.;10247190159;IONUT DUMITRU POP;fabio;;;HAMAMATSU PHOTONICS ITALIA SRL;X2PH38J;;293451032;17/10/2024;01/07/2025;133;133
;;TORINO;marika.bruno@hub09.it;;CORSO CASALE 295 BIS;19/04 non ha voluto prendere app. perche non hanno grosse esigenze le stampante vanno bene , se vuole ha detto quando il nostro comm.le si trova in zona passa dentro o la chiama prima perche lui e sempre in ufficio 07/10 detto ha maurizio che passa dentro quando puo  29/10/20 uffici chiusi x covid lavorano tutti in smart working 19/02/21 lavorano tutti in smart working---20/4/22 in visita21/12/2022 AUGURI---28/7/23 parlo con impiegata che mi dice che doveri non lavora piu li e ora se ne occupa marika bruno---9/1/24 saluti---29/7/24 n.r.---19/12---7/4/25ho parlato con la dott.ssa Arcangeli e ne lei ne la Sig.ra Bruno sono in azienda giovedi 10. Mi avvisa per altro che ora fanno parte di un gruppo e che quindi potrebbe cambiare la loro autonomia.30/7/25--26/8/25 app;;SIG. ra marika bruno daniela arcangeli (338 711 04 17),;fabio;;;HUB09 SRL;;;011 899 4766-3346314212;01/09/2025;26/08/2025;134;134
20090;;VIMODRONE;info@iredelmambo.com;;256 S.S. PADANA SUP.;30/5/19 irraggiungibile--9/7/19 non puo parlare dice domani.tutto ok---27/1/20 chiamo per saluti dice tutto ok le dico che fabio vule passare e rimaniamo daccordo che ci si risente a febbraio---15/7/20parlo con lei dice che in questo momento non riescono a ricevere... chiede di rimandare a fine agosto.29/9/20 parlo con lei che mi dice di richiamare domani che vuole che all'incontro ci sia anche il sig. Giacomo---18/12/20 siamo in ballo da un po con la chiusura del contratto grenke... varie mail e telefonate. vedi clik up---7/4/21 saluti.---30/7/21 saluti ---4/11/21 saluti---22/4/22 mi da n inesistente---21/12/22 auguri---28/7/23---9/1/24 saluti 29/7/24 b.v.--28/2/25 chiamo per app n.r.---30/7/25 N.R.;;SIG.RA ALESSANDRA;fabio;;;I RE DEL MAMBO S.S.D. a r.l.(DANZA LATINA);;;3356238815;07/10/2020;30/07/2025;135;135
;;AVIGLIANA;contabilita@itelimpianti.com;;Viale gandhi 23   3 piano;NON CHIAMARE PERCHE MAURIZIO CI E GIA ANDATO. 02/07: HANNO SOLO SERVIZI DI BACKUP REMOTO. Chiamare a sett. Per presentazione del commerciale con cui hanno gia parlato telefonicamente.11/01/2019 n.r. 18/01 chiamato diverse volte non risponde mai nessuno - mandata email per richiedere app. di cortesia (come d'accordo con Maurizio) 28/01 maurizio andato le hanno chiesto un offerta  per un computer completo di monitor 29/01 mandato offerta per desktop fujitsu e700 sff refurbished  12/07 TEL x vis.di cort. ha detto che sono molto presi di rimandare a sett. 11/09 la sig.a jessica la trovo dalle ore 9 fino alle ore 16 12/09 la sig.a jessica ha detto che per adesso sono a posto richiamare piu avanti 02/09 cambiato computer  e aggiunto stampante 196/02/21 mandata email promemoria x centralino 30/06/22  tutto a posto mandata email x comunicazione nuovo commerciale  24/10/22 preso app. x il 09,11,22 ore 10 - visita di cortesia 5/10/23 Laura- FIX APP CORTESIA CON JESSICA 10/10/23 h 11.00 Esito: vorrebbe sito vetrina. Chiamato Alessio. 17/11/23 fix app h 9.30/10 con Luca x Jessica x sito 1/2025 nn la chiamo, perche Jessica aveva trattato male Lele---!!!!!!!!!!!  ------------------ DA QUI PASSA A FABIO!!!!!4/3/25 CHIAMATI PER CONFERMA APP. A MILANO. CELL SIG.RA JESSICA;;SIG.A JESSICA(TITOLARE) 348/2714401 /Marika;fabio;;;I.T.E.L. IMPIANTI S.A.S. DI TALO' ANTONIO C. SAS;;;011 956 1596;;04/03/2025;136;136
21040;;ORIGGIO;andrea.boeri@icfsrl.net;;VIA I MAGGIO 41/8;30/7/25 N.R.;13236790153;SIG.ANDREA BOERI;fabio;;;ICF SRL;;;3475412359;;30/07/2025;137;137
20126;;milano;icstechnical@legalmail.it;;viale monza 347;e un nostro competitor che ci passa lavori su telefonia e cablaggio;9591100962;Antonio Sirianni;fabio;;;ICS Technical And Services SRL;;;3489014081;;;138;138
20083;;VIGANO DI GAGGIANO;;;VIA EUROPA 38/40;Scrivi qui le tue note...;;laura;fabio;;;IF3P;;;02/90843120;;;139;139
20090;;TEZZANO SUL NAVIGLIO;tina-amministrazione@imballaggicati.it;;VIA TREVES 45;*,;;SIG.RA TINA;fabio;;;IMBALLAGGI CA.TI. SRL;M5UXCR1;;024456489 345 5241081;;;140;140
20157;;MILANO;immobiliare74srl@gmail.com;;VIA REPUBBLICA DI SAN MARINO 1;*;10120160154;SIG.RA MARA;fabio;;;IMMOBILIARE 74 SRL (CANFOR);;;238103446;;;141;141
20129;;MILANO;info@immobiliarenuovastella.it;;CORSO PLEBISCITI 3;11/2018 tutto ok--17/1/19 chiamo per proporre centralini e lei i dice che li hanno appena messi(!)e in piu che e scontenta della macchina. Non fa scansioni(g)---30/5/19 tutto ok (g)--14/10/19 tutto ok---18/12/20 auguri---27/5/21 preso app--25/10 saluti 16/3/22 APP22/12/22 sono gia chiusi per ferie---28/7/23 b.v.10/1/24 SALUTI---29/7/2024 b.v.---13/5/25 prendo app---30/7/25 B.V.;;SIG.RA ANNA VOLPE;fabio;;;IMMOBILIARE NUOVA STELLA;;;02/70126955;13/05/2025;30/07/2025;142;142
20090;;BUCCINASCO;buccinasco@limmobiliare.com;;VIALE LOMBARDIA 20;25/06/2024 chiederanno voltura contratto da Immobilitaliani a Bavera;;SIG.RAPETTI;fabio;;;IMMOBILITALIANI DI LUIGI RAPETTI / BAVERA;;;24880196;25/06/2024;;143;143
;;MILANO;imooditalia@gmail.com;;VIALE LUCANIA 33;25/5/23 chiamo per saluti mi chiede offerta smartphone--10/1/24 SALUTI---19/3/24 app---29/7/24 saluti. Non chiudono--24/9/24 CHIAMANO PER CHIEDERE OFFERTA X SERE BG---3/7/25 non si presenta all'app. preso ieri . No comment!;8368470962;SIG.RA SANTORO;fabio;;;IMOOD ITALIA SRL;W7YVJK9;;3316440057;02/07/2025;02/07/2025;144;144
